Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure
Darro R1,G,10,Sediment,,,,,70,Gas,1267984,4055590,468.9189486,223.1153998,35,45,4.9,2900.500198,6095.946332,0.029005002,0.060959463,0.404782019,20.4413948,8.186702248,17.20589352,8.591484267,37.64728832,Evac,64.38712926,1.452273483,26.73984094,106.6032135,,,,,
Darro R1,G,10,Sediment,,,,,71,Gas,1406608,4771381,588.3329207,245.9614681,35,45,4.9,3197.499085,7648.327969,0.031974991,0.07648328,0.446229976,25.64695997,9.024985749,21.58751233,9.471215725,47.2344723,Evac,62.84922936,1.581739342,15.61475705,104.2979239,,,,,
Darro R1,G,10,Sediment,,,,,72,Gas,1517429,4418004,529.3797469,264.2254349,35,45,4.9,3434.930653,6881.93671,0.034349307,0.068819367,0.479364961,23.07703802,9.695139661,19.42436232,10.17450462,42.50140034,Evac,68.3152114,1.958342275,25.81381107,112.4913514,,,,,
Darro R1,G,10,Sediment,,,,,73,Gas,1385381,4456533,535.8074625,242.4631309,35,45,4.9,3152.020702,6965.497012,0.031520207,0.06965497,0.439883198,23.35723883,8.896622379,19.66021243,9.336505576,43.01745127,Evac,63.17484427,1.507346485,20.157393,104.786016,,,,,
Darro R1,G,10,Sediment,,,,,74,Gas,1384697,4744768,583.8931275,242.3504036,35,45,4.9,3150.555247,7590.610657,0.031505552,0.075906107,0.439678685,25.45341785,8.892486111,21.42460441,9.332164796,46.87802227,Evac,62.61306371,1.599716609,15.73504144,103.9439151,,,,,
Darro R1,G,10,Sediment,-19.20298095,3174.076978,-58.88714292,490.9195347,75,Gas,901560,2454567,201.8235035,162.7265226,35,45,4.9,2115.444793,2623.705545,0.021154448,0.026237055,0.295222877,8.798010671,5.970872425,7.405445482,6.266095302,16.20345615,Evac,33.27484515,1.002036256,17.071389,59.96635264,,,,,
Darro R1,G,20,Sediment,-18.12908169,9503.165616,-59.67122117,1230.532752,76,Gas,1806925,4467895,537.7029621,311.9361154,35,55,4.9,4055.1695,6990.138507,0.040551695,0.069901385,0.565922973,23.43986858,11.44577245,19.7297634,12.01169543,43.16963198,Evac,62.59457589,1.697557784,19.42494391,103.9162021,,,,,
Darro R1,G,30,Sediment,-17.48187189,6679.82674,-62.27005911,1440.228367,77,Gas,1675423,3723298,413.483343,290.2637955,35,65,4.9,3773.429342,5375.283459,0.037734293,0.053752835,0.526604462,18.02481278,10.65055693,15.17181251,11.17716139,33.19662529,Evac,54.22798716,1.690287665,21.03136187,91.37480742,,,,,
Darro R1,G,45,Sediment,-18.74797038,7982.633095,-65.0933621,1270.461323,78,Gas,1762032,3880028,439.6302935,304.5374792,35,80,4.9,3958.98723,5715.193815,0.039589872,0.057151938,0.552500167,19.16462626,11.17429665,16.13121423,11.72679682,35.29584048,Evac,57.63013707,2.924787665,22.33429658,96.4745806,,,,,
Darro R1,G,0,Water,-17.51720637,877.1624624,-64.53882657,21.65850799,79,Gas,34357,1717327,78.83123788,3.204169912,35,0,4.9,41.65420885,1024.806092,0.000416542,0.010248061,0.005813092,3.436458392,0.117569585,2.892529485,0.123382677,6.328987876,Evac,6.745509505,0.013649071,0.416521628,20.19926479,5.62,106.1,7.6,32.1,726.3
