#,Date-Time (AKDT),WaterTemp_degC,Host Connected,Button Down,Button Up,Stopped,End of File
541,07-05-2024 09:55:34,12.44,,,,,
542,07-05-2024 10:00:34,12.44,,,,,
543,07-05-2024 10:05:34,12.48,,,,,
544,07-05-2024 10:10:34,12.48,,,,,
545,07-05-2024 10:15:34,12.52,,,,,
546,07-05-2024 10:20:34,12.52,,,,,
547,07-05-2024 10:25:34,12.52,,,,,
548,07-05-2024 10:30:34,12.52,,,,,
549,07-05-2024 10:35:34,12.57,,,,,
550,07-05-2024 10:40:34,12.57,,,,,
551,07-05-2024 10:45:34,12.57,,,,,
552,07-05-2024 10:50:34,12.61,,,,,
553,07-05-2024 10:55:34,12.61,,,,,
554,07-05-2024 11:00:34,12.61,,,,,
555,07-05-2024 11:05:34,12.61,,,,,
556,07-05-2024 11:10:34,12.65,,,,,
557,07-05-2024 11:15:34,12.70,,,,,
558,07-05-2024 11:20:34,12.70,,,,,
559,07-05-2024 11:25:34,12.70,,,,,
560,07-05-2024 11:30:34,12.70,,,,,
561,07-05-2024 11:35:34,12.70,,,,,
562,07-05-2024 11:40:34,12.70,,,,,
563,07-05-2024 11:45:34,12.74,,,,,
564,07-05-2024 11:50:34,12.74,,,,,
565,07-05-2024 11:55:34,12.82,,,,,
566,07-05-2024 12:00:34,12.82,,,,,
567,07-05-2024 12:05:34,12.87,,,,,
568,07-05-2024 12:10:34,12.91,,,,,
569,07-05-2024 12:15:34,12.87,,,,,
570,07-05-2024 12:20:34,12.91,,,,,
571,07-05-2024 12:25:34,12.91,,,,,
